,Unnamed: 0,compound,negative,neutral,positive,screen_name,created_at,full_text,full_text_3,retweet_count,favorite_count,user_mentions
17,17,-0.4215,0.226,0.642,0.132,TheStalwart,2019-03-20 15:42:16,RT Chance of no deal now much higher EU wants to push straight choice of no deal vs Mays deal Mays Request for Delay S ,"Chance of ""no deal"" now much higher: EU wants to push straight choice of no deal vs May's deal. May's Request for Delay Sets Up Showdown With EU: Brexit Update https://t.co/uoFKwyvPab",19,0,"[{""screen_name"": ""johnauthers"", ""name"": ""John Authers"", ""id"": 19654407, ""id_str"": ""19654407"", ""indices"": [3, 15]}]"
18,18,-0.4019,0.19699999999999998,0.8029999999999999,0.0,TheStalwart,2019-03-20 15:44:29,The owner of the Salt Bae steakhouse chain is in financial trouble ,,27,66,[]
19,19,0.4019,0.0,0.69,0.31,TheStalwart,2019-03-20 15:46:20,RT Sort of interesting conceptual answer here ,Sort of interesting conceptual answer here https://t.co/0TVq5VqxkB https://t.co/zE9rSxTmmy,20,0,"[{""screen_name"": ""katherinemiller"", ""name"": ""Katherine Miller"", ""id"": 15741036, ""id_str"": ""15741036"", ""indices"": [3, 19]}]"
20,20,0.5267,0.19,0.474,0.336,TheStalwart,2019-03-20 15:49:21, France warned it won t agree to a delay without guarantees she can get the divorce deal ratified ,,0,3,[]
21,21,-0.1695,0.094,0.9059999999999999,0.0,TheStalwart,2019-03-20 15:51:47,RT remember when sterling rallied because a nonlegally binding parliament would never allow a nodeal and the extension was a n ,remember when sterling rallied because a non-legally binding parliament would never allow a no-deal and the extension was a no-brainer? well...,5,0,"[{""screen_name"": ""mariatad"", ""name"": ""Maria Tadeo"", ""id"": 84284298, ""id_str"": ""84284298"", ""indices"": [3, 12]}]"
22,22,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 15:55:07, Incredible,,0,2,"[{""screen_name"": ""NeerajKA"", ""name"": ""Neeraj K. Agrawal"", ""id"": 14710235, ""id_str"": ""14710235"", ""indices"": [0, 9]}]"
23,23,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 16:21:16,RT ,@TheStalwart https://t.co/8H76BZ4lB0,1,0,"[{""screen_name"": ""Quick_Dirty"", ""name"": ""Quick & Dirty"", ""id"": 3158448042, ""id_str"": ""3158448042"", ""indices"": [3, 15]}, {""screen_name"": ""TheStalwart"", ""name"": ""Joe Weisenthal"", ""id"": 14096763, ""id_str"": ""14096763"", ""indices"": [17, 29]}]"
24,24,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 16:27:33, Actually having brisket tonight Will post a pic,,0,1,"[{""screen_name"": ""GoBlueCdn"", ""name"": ""GoBlueCdn"", ""id"": 939707792037957632, ""id_str"": ""939707792037957632"", ""indices"": [0, 10]}]"
25,25,-0.2846,0.149,0.851,0.0,TheStalwart,2019-03-20 16:39:17,Stocks near their low of the day but all these numbers are playtime and pretend until the Fed weighs in,,4,19,[]
26,26,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 16:44:23,My view is Trade headlines do move markets but just not that much,,1,8,[]
27,27,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:06:27,RT Todays likely news 1 Fed holds rate steady 2 FOMC forecasts 1 2019 hike 0 is possible vs 2 in December 3 End ,Today's likely news: 1) Fed holds rate steady. 2) FOMC forecasts 1 2019 hike (0 is possible) vs 2 in December. 3) End to balance sheet shrinking announced. 4) Statement promises `patient' adjustments. Full FOMC preview here. https://t.co/ftMkLGCzMl via @business @economics https://t.co/Olp1XO9r50,19,0,"[{""screen_name"": ""SteveMatthews12"", ""name"": ""Steve Matthews"", ""id"": 33621469, ""id_str"": ""33621469"", ""indices"": [3, 19]}]"
28,28,0.3612,0.0,0.667,0.33299999999999996,TheStalwart,2019-03-20 17:11:50,Shaven McCulley looks like John Laroquette,,0,1,[]
29,29,-0.4215,0.237,0.763,0.0,TheStalwart,2019-03-20 17:12:42, And now look what we waste our time talking about,,0,6,"[{""screen_name"": ""michaelbatnick"", ""name"": ""Michael Batnick"", ""id"": 93529573, ""id_str"": ""93529573"", ""indices"": [0, 15]}, {""screen_name"": ""robertoagodinez"", ""name"": ""robertoagodinez"", ""id"": 1971988639, ""id_str"": ""1971988639"", ""indices"": [16, 32]}]"
30,30,0.802,0.059000000000000004,0.67,0.271,TheStalwart,2019-03-20 17:13:45, I dont find it that interesting It seems like they all have their role to play in the show and that the tension has been good for raising all of their profiles,,2,113,"[{""screen_name"": ""jbarro"", ""name"": ""Josh Barro"", ""id"": 16244449, ""id_str"": ""16244449"", ""indices"": [0, 7]}]"
31,31,-0.0274,0.066,0.872,0.063,TheStalwart,2019-03-20 17:15:31, Whats the endgame for any of them Also are you sure its not useful to Kellyanne right now Is there some other thing shes up to that would cause people to talk about her,,1,42,"[{""screen_name"": ""jbarro"", ""name"": ""Josh Barro"", ""id"": 16244449, ""id_str"": ""16244449"", ""indices"": [0, 7]}]"
32,32,-0.4588,0.141,0.789,0.069,TheStalwart,2019-03-20 17:18:15,Pro golfer Phil Mickelson and National Football League Hall of Fame quarterback Joe Montana each tweeted last week that their families had used Singer for college consulting and were shocked to hear about the illegal activity ,,5,9,[]
33,33,0.765,0.0,0.602,0.39799999999999996,TheStalwart,2019-03-20 17:22:03,I think its great to see billionaires pledging their money away like this ,,4,15,[]
34,34,0.1779,0.0,0.779,0.221,TheStalwart,2019-03-20 17:27:02,The UK is growing faster than Germany ,,9,15,[]
35,35,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:38:48, How is it a troll,,0,1,"[{""screen_name"": ""kentindell"", ""name"": ""Ken Tindell"", ""id"": 23978388, ""id_str"": ""23978388"", ""indices"": [0, 11]}]"
36,36,-0.3612,0.5379999999999999,0.462,0.0,TheStalwart,2019-03-20 17:39:28, No Im serious whatd I do,,0,1,"[{""screen_name"": ""kentindell"", ""name"": ""Ken Tindell"", ""id"": 23978388, ""id_str"": ""23978388"", ""indices"": [0, 11]}]"
37,37,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:40:51,Here we go 20 minutes til the Fed This is why we all woke up today,,2,32,[]
38,38,0.2235,0.0,0.941,0.059000000000000004,TheStalwart,2019-03-20 17:42:03, Neither of you have refuted the thrust of it which it seems to be that neither the no deal version of Brexit nor the deal version of Brexit seem either desirabledeliverable,,0,3,"[{""screen_name"": ""michaelbd"", ""name"": ""Michael Brendan Dougherty"", ""id"": 9840002, ""id_str"": ""9840002"", ""indices"": [0, 10]}, {""screen_name"": ""pegobry"", ""name"": ""PEG"", ""id"": 3639301, ""id_str"": ""3639301"", ""indices"": [11, 19]}, {""screen_name"": ""matthew_loftus"", ""name"": ""Matthew Loftus"", ""id"": 14429117, ""id_str"": ""14429117"", ""indices"": [20, 35]}]"
39,39,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:44:51,RT Bella and Gigi Hadid make books the hot new accessory of 2019 ,Bella and Gigi Hadid make books the hot new accessory of 2019 https://t.co/TR3gIo0Vrv https://t.co/Zg3H5JQefU,1389,0,"[{""screen_name"": ""nypost"", ""name"": ""New York Post"", ""id"": 17469289, ""id_str"": ""17469289"", ""indices"": [3, 10]}]"
40,40,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:45:01, we,,0,2,"[{""screen_name"": ""WilliamTurton"", ""name"": ""William Turton"", ""id"": 99012883, ""id_str"": ""99012883"", ""indices"": [0, 14]}]"
41,41,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:50:11, But she cant deliver it,,0,0,"[{""screen_name"": ""pegobry"", ""name"": ""PEG"", ""id"": 3639301, ""id_str"": ""3639301"", ""indices"": [0, 8]}, {""screen_name"": ""michaelbd"", ""name"": ""Michael Brendan Dougherty"", ""id"": 9840002, ""id_str"": ""9840002"", ""indices"": [9, 19]}, {""screen_name"": ""matthew_loftus"", ""name"": ""Matthew Loftus"", ""id"": 14429117, ""id_str"": ""14429117"", ""indices"": [20, 35]}]"
42,42,0.6908,0.0,0.759,0.24100000000000002,TheStalwart,2019-03-20 17:50:50, What is the deal thats both good popular among the public and able to get through the House of Commons,,0,1,"[{""screen_name"": ""pegobry"", ""name"": ""PEG"", ""id"": 3639301, ""id_str"": ""3639301"", ""indices"": [0, 8]}, {""screen_name"": ""michaelbd"", ""name"": ""Michael Brendan Dougherty"", ""id"": 9840002, ""id_str"": ""9840002"", ""indices"": [9, 19]}, {""screen_name"": ""matthew_loftus"", ""name"": ""Matthew Loftus"", ""id"": 14429117, ""id_str"": ""14429117"", ""indices"": [20, 35]}]"
43,43,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:52:42, I thought that it was impossible,,0,0,"[{""screen_name"": ""pegobry"", ""name"": ""PEG"", ""id"": 3639301, ""id_str"": ""3639301"", ""indices"": [0, 8]}, {""screen_name"": ""michaelbd"", ""name"": ""Michael Brendan Dougherty"", ""id"": 9840002, ""id_str"": ""9840002"", ""indices"": [9, 19]}, {""screen_name"": ""matthew_loftus"", ""name"": ""Matthew Loftus"", ""id"": 14429117, ""id_str"": ""14429117"", ""indices"": [20, 35]}]"
44,44,0.8586,0.0,0.6779999999999999,0.322,TheStalwart,2019-03-20 17:55:03, Whats the evidence that Theresa May could get a better deal or get more support for this deal if she were a more talented negotiator,,0,1,"[{""screen_name"": ""pegobry"", ""name"": ""PEG"", ""id"": 3639301, ""id_str"": ""3639301"", ""indices"": [0, 8]}, {""screen_name"": ""michaelbd"", ""name"": ""Michael Brendan Dougherty"", ""id"": 9840002, ""id_str"": ""9840002"", ""indices"": [9, 19]}, {""screen_name"": ""matthew_loftus"", ""name"": ""Matthew Loftus"", ""id"": 14429117, ""id_str"": ""14429117"", ""indices"": [20, 35]}]"
45,45,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 17:56:00,4 MINUTES,,1,6,[]
46,46,0.7474,0.0,0.797,0.203,TheStalwart,2019-03-20 17:58:55,This is it Remember the most advanced and successful investors in the world will be making very big portfolio decisions based on snap readings of the statement,,1,22,[]
47,47,-0.34,0.545,0.455,0.0,TheStalwart,2019-03-20 17:59:51,Im stressed out,,0,19,[]
48,48,0.0258,0.113,0.77,0.11699999999999999,TheStalwart,2019-03-20 18:01:10,DOVISH FED TO TAPER BALANCESHEET ROLLOFF SEES IT HALTING ENDSEPT FED SIGNALS NO RATE HIKE THIS YEAR WITH ONE INCREASE IN 2020 ,,41,56,[]
49,49,0.2263,0.0,0.8079999999999999,0.192,TheStalwart,2019-03-20 18:01:51,Stocks up Treasuries up The year of 6040 continues,,2,13,[]
50,50,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 18:03:26,The SampP 500 just turned green ,,5,9,[]
51,51,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 18:05:09,Heres the Feds statement on the balance sheet ,,4,7,[]
52,52,-0.2023,0.153,0.847,0.0,TheStalwart,2019-03-20 18:06:10,255 on the 10year Back at the lows of the year ,,6,6,[]
53,53,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 18:11:42, Are these stock tickers,,0,2,"[{""screen_name"": ""ericspiegelman"", ""name"": ""Eric Spiegelman"", ""id"": 18954848, ""id_str"": ""18954848"", ""indices"": [0, 15]}]"
54,54,-0.1531,0.21100000000000002,0.789,0.0,TheStalwart,2019-03-20 18:13:09,Rates keep falling 10year now below 255,,6,21,[]
55,55,0.4118,0.10300000000000001,0.655,0.242,TheStalwart,2019-03-20 18:19:22,It definitely seems wrong now but it was a fair way to characterize Powells message on October 3 ,,1,4,[]
56,56,0.7767,0.0,0.8440000000000001,0.156,TheStalwart,2019-03-20 18:24:39, My issue with that is that because inflation was benign at the time and the economy was not raging hot that it was reasonable to interpret neutral or the time to neutral as signifying some desire to see a general slowdown or tightening of financial conditions,,0,0,"[{""screen_name"": ""pearkes"", ""name"": ""George Pearkes"", ""id"": 18300968, ""id_str"": ""18300968"", ""indices"": [0, 8]}]"
57,57,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 18:25:29,Now below 254 ,,10,25,[]
58,58,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 18:27:45,Guys I already explained this last summer ,,12,44,[]
59,59,-0.29600000000000004,0.095,0.905,0.0,TheStalwart,2019-03-20 18:32:14,RT LIVE Jerome Powell addresses the press after the Federal Reserve held rates today and signaled no rate hikes in 2019 https ,LIVE: Jerome Powell addresses the press after the Federal Reserve held rates today and signaled no rate hikes in 2019 https://t.co/10Q0JoHuw2,10,0,"[{""screen_name"": ""economics"", ""name"": ""Bloomberg Economics"", ""id"": 144274618, ""id_str"": ""144274618"", ""indices"": [3, 13]}]"
60,60,0.29600000000000004,0.0,0.8240000000000001,0.17600000000000002,TheStalwart,2019-03-20 18:33:31,Markets liking Powells initial tone which has been to emphasize that the economy is growing but decelerating,,2,6,[]
61,61,0.0762,0.0,0.8220000000000001,0.17800000000000002,TheStalwart,2019-03-20 18:33:58,RT i am the only one without bias,i am the only one without bias,15,0,"[{""screen_name"": ""NeerajKA"", ""name"": ""Neeraj K. Agrawal"", ""id"": 14710235, ""id_str"": ""14710235"", ""indices"": [3, 12]}]"
62,62,0.4588,0.0,0.8640000000000001,0.136,TheStalwart,2019-03-20 18:34:45,RT Stocks rally on news from Federal Reserve Fed made moves thatll make Trump happyit will keep interest rates on h ,"Stocks rally on news from Federal Reserve. Fed made moves that'll make Trump happy--it will keep interest rates on hold for the full year. But it's also a signal economic growth is slowing, and risks from abroad are dimming the outlook. @jeannasmialek https://t.co/mJrtK1E71X",16,0,"[{""screen_name"": ""JenniferJJacobs"", ""name"": ""Jennifer Jacobs"", ""id"": 15433452, ""id_str"": ""15433452"", ""indices"": [3, 19]}]"
63,63,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 18:36:45,25298 ,,7,13,[]
64,64,-0.5719,0.139,0.861,0.0,TheStalwart,2019-03-20 18:39:32,I guess the fiscal situation is TBD but my read of Powell from December when everyone was freaking out turned out to be totally correct ,,2,8,[]
65,65,0.3612,0.0,0.444,0.556,TheStalwart,2019-03-20 18:42:50, Like I said tbd,,0,0,"[{""screen_name"": ""LJKawa"", ""name"": ""Luke Kawa"", ""id"": 601154827, ""id_str"": ""601154827"", ""indices"": [0, 7]}]"
66,66,0.1761,0.069,0.841,0.09,TheStalwart,2019-03-20 18:43:53,This is what Powell said at his December press conference Very clearly indicating at the time that they could pause for the year But it got ignored at the time ,,4,9,[]
67,67,-0.3182,0.315,0.685,0.0,TheStalwart,2019-03-20 18:45:07, I do because people kept dumping stocks,,0,0,"[{""screen_name"": ""KenVeksler"", ""name"": ""Ken Veksler"", ""id"": 300896355, ""id_str"": ""300896355"", ""indices"": [0, 11]}]"
68,68,0.2247,0.0,0.679,0.321,TheStalwart,2019-03-20 18:46:43,RT 12202018 very solid ht ,"@TheStalwart 12/20/2018; very solid, h/t https://t.co/7fuULipK9L",1,0,"[{""screen_name"": ""Quick_Dirty"", ""name"": ""Quick & Dirty"", ""id"": 3158448042, ""id_str"": ""3158448042"", ""indices"": [3, 15]}, {""screen_name"": ""TheStalwart"", ""name"": ""Joe Weisenthal"", ""id"": 14096763, ""id_str"": ""14096763"", ""indices"": [17, 29]}]"
69,69,0.8442,0.0,0.5429999999999999,0.457,TheStalwart,2019-03-20 18:52:22,Well always be trying to reach consensus Powell Great opportunity for crypto Twitter to chime in,,0,12,[]
70,70,0.2263,0.0,0.853,0.147,TheStalwart,2019-03-20 19:03:08, This is true per Powell today but what explains the last 9 hikes,,0,5,"[{""screen_name"": ""jeannasmialek"", ""name"": ""Jeanna Smialek"", ""id"": 258157507, ""id_str"": ""258157507"", ""indices"": [0, 14]}]"
71,71,0.0772,0.0,0.885,0.115,TheStalwart,2019-03-20 19:03:28,Powell says its been a major challenge that inflation hasnt been higher,,2,11,[]
72,72,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 19:05:15, question,,0,5,"[{""screen_name"": ""boes_"", ""name"": ""Matthew B"", ""id"": 42570063, ""id_str"": ""42570063"", ""indices"": [1, 7]}]"
73,73,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 19:06:32,Who let this socialist into the Fed presser,,2,50,[]
74,74,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 19:07:34,Ive seen your charts on Twitter and I dont buy it Powell to basically,,0,30,"[{""screen_name"": ""boes_"", ""name"": ""Matthew B"", ""id"": 42570063, ""id_str"": ""42570063"", ""indices"": [68, 74]}]"
75,75,0.0516,0.0,0.833,0.16699999999999998,TheStalwart,2019-03-20 19:09:51,RT s relentless campaign getting to the Fed,@boes_ 's relentless campaign getting to the Fed.,3,0,"[{""screen_name"": ""teasri"", ""name"": ""Sri Thiruvadanthai"", ""id"": 52491924, ""id_str"": ""52491924"", ""indices"": [3, 10]}, {""screen_name"": ""boes_"", ""name"": ""Matthew B"", ""id"": 42570063, ""id_str"": ""42570063"", ""indices"": [12, 18]}]"
76,76,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 19:18:34,RT Alan Krueger s Radical Empiricism new by ,Alan Krueger’s Radical Empiricism https://t.co/uwGtkZbFQ1 new! by @mattzeitlin,3,0,"[{""screen_name"": ""atossaaraxia"", ""name"": ""Atossa Araxia Abrahamian"", ""id"": 228437800, ""id_str"": ""228437800"", ""indices"": [3, 16]}, {""screen_name"": ""MattZeitlin"", ""name"": ""Matthew Zeitlin"", ""id"": 12263542, ""id_str"": ""12263542"", ""indices"": [84, 96]}]"
77,77,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 19:21:30, Where has this piece been all my life,,0,2,"[{""screen_name"": ""KJezerMorton"", ""name"": ""Kathryn Jezer-Morton"", ""id"": 21322107, ""id_str"": ""21322107"", ""indices"": [0, 13]}, {""screen_name"": ""FrankandOak"", ""name"": ""Frank And Oak"", ""id"": 437044208, ""id_str"": ""437044208"", ""indices"": [14, 26]}]"
78,78,-0.2673,0.133,0.784,0.083,TheStalwart,2019-03-20 19:27:15,Playing the hits TRUMP REPEATS CALLS FOR GM TO SELL OHIO PLANT TRUMP SAYS HE NEVER LIKED MCCAIN MUCH,,3,16,[]
79,79,-0.25,0.091,0.909,0.0,TheStalwart,2019-03-20 19:39:05,RT We re approaching a yield curve contradiction Fed shouldn t hike because that ll invert the curve But if Fed is asym ,"We’re approaching a yield curve contradiction: -Fed shouldn’t hike because that’ll invert the curve. -But if Fed is asymmetrically dovish, investors are encouraged to increase duration and sacrifice carry/roll for prospect of capital appreciation...leading to inverted curve",10,0,"[{""screen_name"": ""IrvingSwisher"", ""name"": ""Neoliberal Sellout"", ""id"": 713526017596526593, ""id_str"": ""713526017596526593"", ""indices"": [3, 17]}]"
80,80,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 19:49:55,TV time ,,0,3,[]
81,81,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 19:59:59,SampP close red Get Powell back in there,,2,22,[]
82,82,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:03:08, Id read it,,0,2,"[{""screen_name"": ""hamishmckenzie"", ""name"": ""Hamish McKenzie"", ""id"": 9701382, ""id_str"": ""9701382"", ""indices"": [0, 15]}, {""screen_name"": ""davidegreenwald"", ""name"": ""David Greenwald"", ""id"": 15792153, ""id_str"": ""15792153"", ""indices"": [16, 32]}]"
83,83,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:05:07,BA 111,,3,11,[]
84,84,0.2732,0.0,0.741,0.259,TheStalwart,2019-03-20 20:10:19,UK economic surprise index has been soaring ,,3,10,[]
85,85,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:13:20,Whats May going to say,,0,9,[]
86,86,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:24:47,Why hasnt May started yet,,0,19,[]
87,87,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:25:07,RT I refer you to the photos illustrating my twitter page ,I refer you to the photos illustrating my twitter page https://t.co/WlA6XEoNXq,2,0,"[{""screen_name"": ""simonjkennedy"", ""name"": ""Simon Kennedy"", ""id"": 53326942, ""id_str"": ""53326942"", ""indices"": [3, 17]}]"
88,88,-0.3875,0.345,0.655,0.0,TheStalwart,2019-03-20 20:26:04, Why Isnt this all pretty straightforward,,0,0,"[{""screen_name"": ""RobDotHutton"", ""name"": ""Robert Hutton"", ""id"": 105236496, ""id_str"": ""105236496"", ""indices"": [0, 13]}]"
89,89,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:27:21,RT 1000 days later still a valid question,"@TheStalwart 1,000 days later, still a valid question..",1,0,"[{""screen_name"": ""LorcanRK"", ""name"": ""Lorcan Roche Kelly"", ""id"": 23116875, ""id_str"": ""23116875"", ""indices"": [3, 12]}, {""screen_name"": ""TheStalwart"", ""name"": ""Joe Weisenthal"", ""id"": 14096763, ""id_str"": ""14096763"", ""indices"": [14, 26]}]"
90,90,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:37:31,Theresa May time ,,1,5,[]
91,91,-0.4404,0.172,0.828,0.0,TheStalwart,2019-03-20 20:38:44,Theresa May says the public is tired of all the infighting and procedural games CC ,,4,35,"[{""screen_name"": ""ComfortablySmug"", ""name"": ""Comfortably Smug"", ""id"": 17060573, ""id_str"": ""17060573"", ""indices"": [85, 101]}]"
92,92,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:41:09,Theresa May The next three months will be more of the same,,5,29,[]
93,93,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:41:38,RT dovish,@TheStalwart dovish,1,0,"[{""screen_name"": ""dougtee"", ""name"": ""doug tee"", ""id"": 195157522, ""id_str"": ""195157522"", ""indices"": [3, 11]}, {""screen_name"": ""TheStalwart"", ""name"": ""Joe Weisenthal"", ""id"": 14096763, ""id_str"": ""14096763"", ""indices"": [13, 25]}]"
94,94,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:49:26,Its refreshing to see real leadership,,2,20,[]
95,95,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 20:52:50, which curve,,1,12,"[{""screen_name"": ""teasri"", ""name"": ""Sri Thiruvadanthai"", ""id"": 52491924, ""id_str"": ""52491924"", ""indices"": [0, 7]}]"
